time,temperature,humidity,AirQuality_Index,AirQuality_Alert_Level,AirQuality_Alert_Color
2024-03-06 22:15:10.521,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:15:30.607,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:15:50.684,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:16:10.761,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:16:30.846,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:16:50.916,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:17:10.984,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:17:31.053,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:17:51.136,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:18:11.194,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:18:31.272,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:18:51.34,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:19:11.425,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:19:31.491,6.46,85.0,69.87311,Moderate,Yellow
2024-03-06 22:19:51.563,6.46,85.0,69.87311,Moderate,Yellow
